KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
AGL,386,521,565,432,358,389,354,571
AGMAT,71,130,104,86,65,52,55,119
AGO1,1310.3,2027,1895,1490.5,1127,1024,944.88,2149
AGO2,3132,4364,3898,2950,2230,2137,2205,4312
AGO3,517,732,827,597,515,497,457,959
AGO4,1091,1642,1641,1207,964,981,975,1934
AGPAT1,815.01,1386,1155.2,907.96,617.52,514.51,579.04,1106.2
AGPAT2,764,1520,1328,880,807,614,624,1346
AGPAT3,1677,2892,2439,1815,1339,1226,1182,2680
AGPAT4,75,120,101,70,49,46,32,92
AGPAT4-IT1,8,5,8,3,0,6,3,9
AGPAT5,2026,2916,3146,2196,1816,1781,1784,3531
AGPS,1959,2639,2826,2204,1847,1931,1759,3492.3
AGR2,0,0,0,0,0,0,1,1
AGRN,1660.9,3182,2642.1,1715.3,1369.6,1046.6,1139.9,2237.4
AGRP,0,0,0,0,0,1,4,2
AGT,137,227,200,142,123,123,130,270
AGTPBP1,491,691,737,512,732,770,750,1436
AGTRAP,250,591,489,343,366,286,245,575
AGXT,0,1,1,0,2,0,1,2
AHCTF1,2704.3,3439,3729.2,2915.7,2370.7,2318.1,2338.8,4668.8
AHCTF1P1,27.74,43.01,42.75,21.31,22.28,36.92,36.21,46.23
AHCY,3220,5705,5558,3620,3550,2878,2866,6364
AHCYL1,2020,3328,3369,2337,1605,1600,1482,3115
AHCYL2,207,300,310,226,186,156,174,319
AHCYP2,0,0,0,0,1,0,0,0
AHCYP7,0,0,0,0,0,0,0,1
AHDC1,424,665,575,407,260,206,241,412
AHI1,162,212,248,179,144,158,140,289
AHNAK,16004,25324,25470,18540,15869,13989,14400,31348
AHNAK2,82.48,121.39,119.26,70.18,49.54,41.63,66.43,95.96
AHR,1768,2210,2203,1678,1098,1155,1158,1975
AHRR,648,1187,1056,832,569,514,488,1211
AHSA1,2123,3487,3353,2585,2233,2085,1997,4625
AHSA2P,742,1270.3,1288.7,1024.4,886.83,903.51,837.56,1904.9
AIDA,740.7,963.61,1081.4,875.76,697.97,763.02,672.88,1359.1
AIDAP1,0,0,0,1.01,0,0,1,0
AIDAP2,1,2.01,0,3,1,1,0,1
AIF1,1609,3164,3277,2135,2401,2132,2198,5015
AIF1L,13,12,8,16,8,7,2,10
AIFM1,1314,2160,2201,1575,1336,1231,1075,2420
AIFM2,59,82,102,59,58,41,49,71
AIFM3,74,127.94,120,91,70,42,79.92,131
AIG1,41,106,106,66,57,45,56,75
AIM2,5,1,8,2,1,1,0,2
